nohup: ignoring input
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
221.216.47.36 - - [04/Jun/2015 15:31:17] "GET /static/img/thumbs/square/305089776ce02971bbe60957d56747ddaafcf0c5.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:17] "GET /static/img/thumbs/square/4ac5ef73f95a01b3ba4642aeaa903b56caffed08.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:17] "GET /static/img/thumbs/square/e7a8210c711b8477bcd2fe0e9e26fb7c08d90f90.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:17] "GET /static/img/thumbs/square/117b29bca6d5d3f462f25690cecad8862f338402.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:17] "GET /static/img/thumbs/square/f1b373dae39ac60451eed56900b7961f2308f778.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:17] "GET /static/img/thumbs/square/2fb3dff7c3d6ef582c35c496a91a5a6188add758.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:17] "GET /static/img/thumbs/square/fece91229a32c8b1929816b57992204c74bbd5bc.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:17] "GET /static/img/thumbs/square/ef46ccd5ede9f8a3e4e551ceef5c625b025d5902.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:18] "GET /static/img/thumbs/square/dc1aa24ed131db9296955932c6d0eb691586cd0f.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:21] "GET /list_item?category=lego HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:21] "GET /static/img/thumbs/square/6b0567584bb2d5b56c88e8a2f47ada24505dd857.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:22] "GET /static/img/thumbs/square/37ec3b3e9c7655cd81a1f16bc5d48f7f108cfcbb.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:22] "GET /static/img/thumbs/square/219f40c0050e391f9f7828a0f73a74d1767d0adf.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:22] "GET /static/img/thumbs/square/94aea1fe158e062d0173bf4bd186f836cd5af664.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:22] "GET /static/img/thumbs/square/0fa9d93ac1f08e6b3ba0c571293fb491194375d8.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:22] "GET /static/img/thumbs/square/a69a0f3b8854591daf7a3a68f6de8610fe8769d8.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:22] "GET /static/img/thumbs/square/f925eaad195d1a135b43dc85ee9bbb361b560dc0.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:22] "GET /static/img/thumbs/square/e85d7befaa2cd68f75a653852c244a8ab92929e7.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:22] "GET /static/img/thumbs/square/6b6cfcb071e2b901185a0922c0af4a766ac22e7d.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:22] "GET /static/img/thumbs/square/1b6381103e3a926d5cb6fce2b8238d9f88777070.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:22] "GET /static/img/thumbs/square/d0649328496720abeebe2882d8ab82f581867050.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:22] "GET /static/img/thumbs/square/7e44e195421754215579395a897e79466841f938.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:23] "GET /static/img/thumbs/square/a05a3fbbf321b94b70e08a94b2ddea2e3d401935.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:23] "GET /static/img/thumbs/square/7435233b63ad23279ae826eaf002bcf955457b6c.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:23] "GET /static/img/thumbs/square/04f198e8c9718081f194a1884341238b77e3de0c.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:23] "GET /static/img/thumbs/square/ab43438002a759595e680254b0b67e32cd7c3553.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:23] "GET /static/img/thumbs/square/22e61da9a98c60e59f82ea5670e1667a95be43fc.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:23] "GET /static/img/thumbs/square/380801c28b3454f0888c06ea5e33b7ce57320c9f.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:23] "GET /static/img/thumbs/square/16db20e91ebcb30952602b706598ba844f03c338.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:27] "GET /item_detail/78bbc0d36c2cab0d0146030c1f1f9488 HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:27] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:31:27] "GET /static/img/thumbs/big/6b0567584bb2d5b56c88e8a2f47ada24505dd857.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:28] "GET /static/img/thumbs/big/65c2a33bcc5878394cf111f00c046985d8f82f7a.jpg HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:28] "GET /static/img/thumbs/big/.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:31:38] "GET /item_detail/78bbc0d36c2cab0d0146030c1f1f9488 HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:31:38] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:31:47] "GET /static/img/thumbs/big/.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:38:55] "GET /item_detail/78bbc0d36c2cab0d0146030c1f1f9488 HTTP/1.1" 200 -
221.216.47.36 - - [04/Jun/2015 15:38:55] "GET /static/css/bootstrap-responsive.css HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:38:55] "GET /static/js/bootstrap.min.js HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:38:55] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:38:56] "GET /static/img/thumbs/big/65c2a33bcc5878394cf111f00c046985d8f82f7a.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:38:56] "GET /static/img/thumbs/big/6b0567584bb2d5b56c88e8a2f47ada24505dd857.jpg HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:38:56] "GET /static/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
221.216.47.36 - - [04/Jun/2015 15:38:56] "GET /static/img/thumbs/big/.jpg HTTP/1.1" 404 -
221.216.47.36 - - [04/Jun/2015 15:38:59] "GET /list_item?category=lego HTTP/1.1" 200 -
